level_2,level_5,dataset_type,ay,dev,Expr1
N06K1,LC,CASE,2004,108,116956
N06K1,LC,CASE,2004,120,161208
N06K1,LC,CASE,2004,132,161208
N06K1,LC,CASE,2004,144,493944
N06K1,LC,CASE,2004,156,410000
N06K1,LC,CASE,2005,60,781023
N06K1,LC,CASE,2005,72,794407
N06K1,LC,CASE,2005,84,657547
N06K1,LC,CASE,2005,96,19186
N06K1,LC,CASE,2005,108,16159
N06K1,LC,CASE,2005,120,47893
N06K1,LC,CASE,2005,132,5846
N06K1,LC,CASE,2005,144,8229
N06K1,LC,CASE,2006,48,1480823
N06K1,LC,CASE,2006,60,123760
N06K1,LC,CASE,2006,72,121974
N06K1,LC,CASE,2006,84,116974
N06K1,LC,CASE,2006,96,39694
N06K1,LC,CASE,2006,108,11580
N06K1,LC,CASE,2006,120,1406
N06K1,LC,CASE,2006,132,1202
N06K1,LC,CASE,2007,36,12520763
N06K1,LC,CASE,2007,48,6141252
N06K1,LC,CASE,2007,60,2854012
N06K1,LC,CASE,2007,72,5628
N06K1,LC,CASE,2007,84,-16579
N06K1,LC,CASE,2007,96,12765
N06K1,LC,CASE,2007,108,35369
N06K1,LC,CASE,2007,120,0
N06K1,LC,CASE,2008,24,8018170
N06K1,LC,CASE,2008,36,8634789
N06K1,LC,CASE,2008,48,3665974
N06K1,LC,CASE,2008,60,80110
N06K1,LC,CASE,2008,72,45557
N06K1,LC,CASE,2008,84,-1542
N06K1,LC,CASE,2008,96,195513
N06K1,LC,CASE,2008,108,451215
N06K1,LC,CASE,2009,12,36787989
N06K1,LC,CASE,2009,24,28481029
N06K1,LC,CASE,2009,36,13031060
N06K1,LC,CASE,2009,48,9347081
N06K1,LC,CASE,2009,60,3620989
N06K1,LC,CASE,2009,72,3288871
N06K1,LC,CASE,2009,84,2834919
N06K1,LC,CASE,2009,96,1114133
N06K1,LC,CASE,2010,12,28739556
N06K1,LC,CASE,2010,24,12447875
N06K1,LC,CASE,2010,36,4786850
N06K1,LC,CASE,2010,48,1316139
N06K1,LC,CASE,2010,60,790618
N06K1,LC,CASE,2010,72,654319
N06K1,LC,CASE,2010,84,214178
N06K1,LC,CASE,2011,12,45184731
N06K1,LC,CASE,2011,24,16324362
N06K1,LC,CASE,2011,36,2143952
N06K1,LC,CASE,2011,48,1928562
N06K1,LC,CASE,2011,60,1569862
N06K1,LC,CASE,2011,72,893925
N06K1,LC,CASE,2012,12,28127743
N06K1,LC,CASE,2012,24,11065968
N06K1,LC,CASE,2012,36,4680911
N06K1,LC,CASE,2012,48,89467
N06K1,LC,CASE,2012,60,871
N06K1,LC,CASE,2013,12,23559287
N06K1,LC,CASE,2013,24,8360981
N06K1,LC,CASE,2013,36,1321032
N06K1,LC,CASE,2013,48,3832
N06K1,LC,CASE,2014,12,13492838
N06K1,LC,CASE,2014,24,7370257
N06K1,LC,CASE,2014,36,3742352
N06K1,LC,CASE,2015,12,26256200
N06K1,LC,CASE,2015,24,13645490
N06K1,LC,CASE,2016,12,13672622
N06K1,LC,PAID,1995,180,7005128.064
N06K1,LC,PAID,1995,192,6641027.754
N06K1,LC,PAID,1995,204,6641769.104
N06K1,LC,PAID,1995,216,6642028.634
N06K1,LC,PAID,1995,228,6642518.804
N06K1,LC,PAID,1995,240,6642910.264
N06K1,LC,PAID,1995,252,6649388.434
N06K1,LC,PAID,1995,264,6653626.934
N06K1,LC,PAID,1996,168,2084225.226
N06K1,LC,PAID,1996,180,2084225.226
N06K1,LC,PAID,1996,192,2084225.226
N06K1,LC,PAID,1996,204,2084225.226
N06K1,LC,PAID,1996,216,2084225.226
N06K1,LC,PAID,1996,228,2084225.226
N06K1,LC,PAID,1996,240,2084225.226
N06K1,LC,PAID,1996,252,2084225.226
N06K1,LC,PAID,1997,156,965931.9049
N06K1,LC,PAID,1997,168,965931.9049
N06K1,LC,PAID,1997,180,985636.5198
N06K1,LC,PAID,1997,192,986565.0526
N06K1,LC,PAID,1997,204,986565.0526
N06K1,LC,PAID,1997,216,986565.0526
N06K1,LC,PAID,1997,228,986565.0526
N06K1,LC,PAID,1997,240,986565.0526
N06K1,LC,PAID,1998,144,4643665.645
N06K1,LC,PAID,1998,156,4643665.645
N06K1,LC,PAID,1998,168,4643665.645
N06K1,LC,PAID,1998,180,4643665.645
N06K1,LC,PAID,1998,192,4643665.645
N06K1,LC,PAID,1998,204,4643665.645
N06K1,LC,PAID,1998,216,4643665.645
N06K1,LC,PAID,1998,228,4643665.645
N06K1,LC,PAID,1999,132,2723732.815
N06K1,LC,PAID,1999,144,2723732.815
N06K1,LC,PAID,1999,156,2723732.815
N06K1,LC,PAID,1999,168,2723732.815
N06K1,LC,PAID,1999,180,2723732.815
N06K1,LC,PAID,1999,192,2723732.815
N06K1,LC,PAID,1999,204,2723732.815
N06K1,LC,PAID,1999,216,2723732.815
N06K1,LC,PAID,2000,120,1180947.83
N06K1,LC,PAID,2000,132,1272257.044
N06K1,LC,PAID,2000,144,695502.54
N06K1,LC,PAID,2000,156,695502.54
N06K1,LC,PAID,2000,168,695502.54
N06K1,LC,PAID,2000,180,695502.54
N06K1,LC,PAID,2000,192,695502.54
N06K1,LC,PAID,2000,204,695502.54
N06K1,LC,PAID,2001,108,7468020.731
N06K1,LC,PAID,2001,120,7471384.281
N06K1,LC,PAID,2001,132,7471384.281
N06K1,LC,PAID,2001,144,7471176.169
N06K1,LC,PAID,2001,156,7009480.279
N06K1,LC,PAID,2001,168,6485790.479
N06K1,LC,PAID,2001,180,6485790.479
N06K1,LC,PAID,2001,192,6485790.479
N06K1,LC,PAID,2002,96,41651673.3
N06K1,LC,PAID,2002,108,41651673.3
N06K1,LC,PAID,2002,120,41655350.52
N06K1,LC,PAID,2002,132,41158990.2
N06K1,LC,PAID,2002,144,41161310.44
N06K1,LC,PAID,2002,156,41164595.84
N06K1,LC,PAID,2002,168,41167241.84
N06K1,LC,PAID,2002,180,42008005.9
N06K1,LC,PAID,2003,84,42743543.74
N06K1,LC,PAID,2003,96,42196237.68
N06K1,LC,PAID,2003,108,42199297.66
N06K1,LC,PAID,2003,120,42226558.75
N06K1,LC,PAID,2003,132,42268469.73
N06K1,LC,PAID,2003,144,42268469.73
N06K1,LC,PAID,2003,156,42114223.42
N06K1,LC,PAID,2003,168,42114223.42
N06K1,LC,PAID,2004,72,31529287.23
N06K1,LC,PAID,2004,84,31777728
N06K1,LC,PAID,2004,96,32294861.65
N06K1,LC,PAID,2004,108,32058010.05
N06K1,LC,PAID,2004,120,32013758.05
N06K1,LC,PAID,2004,132,32013758.05
N06K1,LC,PAID,2004,144,32031758.05
N06K1,LC,PAID,2004,156,32031758.05
N06K1,LC,PAID,2005,60,65446358.26
N06K1,LC,PAID,2005,72,65486989.46
N06K1,LC,PAID,2005,84,65518228.91
N06K1,LC,PAID,2005,96,66001534.64
N06K1,LC,PAID,2005,108,66005441.04
N06K1,LC,PAID,2005,120,66007059.24
N06K1,LC,PAID,2005,132,66030769.91
N06K1,LC,PAID,2005,144,66043387.16
N06K1,LC,PAID,2006,48,40157216.15
N06K1,LC,PAID,2006,60,40709807.33
N06K1,LC,PAID,2006,72,40721933.28
N06K1,LC,PAID,2006,84,40721933.28
N06K1,LC,PAID,2006,96,40726650.03
N06K1,LC,PAID,2006,108,40745786.03
N06K1,LC,PAID,2006,120,40755959.97
N06K1,LC,PAID,2006,132,40766164.35
N06K1,LC,PAID,2007,36,34319090.94
N06K1,LC,PAID,2007,48,41704622.45
N06K1,LC,PAID,2007,60,42033419.2
N06K1,LC,PAID,2007,72,43603404.44
N06K1,LC,PAID,2007,84,43625595.68
N06K1,LC,PAID,2007,96,43659201.15
N06K1,LC,PAID,2007,108,43656696.87
N06K1,LC,PAID,2007,120,43373976.87
N06K1,LC,PAID,2008,24,52474001.43
N06K1,LC,PAID,2008,36,53219311.02
N06K1,LC,PAID,2008,48,53172779.15
N06K1,LC,PAID,2008,60,56517130.81
N06K1,LC,PAID,2008,72,56554423.36
