Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2016,3182206,1,01/01/2016,26/05/2016,8,S,52,50 <=  x < 55,11,9600,1,1,private car,CAR,056,2009,1998,5,120.25068493,4814.7945205
2016,3182218,1,01/01/2016,31/12/2016,8,C,66,65 <=  x < 70,9,4149,1,51,driving school car,CAR,047,2010,2148,5,361.87114801,9812.1205479
2016,3182315,1,01/01/2016,11/09/2016,8,C,47,45 <=  x < 50,2,2510,1,1,private car,CAR,057,2015,1588,2,183.10989045,3050.7534247
2016,3182363,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,9,2910,2,5,commercial car <3100 kg,PICKUP,049,2009,3600,5,274.51210872,2107.8561644
2016,3182468,1,01/01/2016,26/05/2016,8,C,47,45 <=  x < 50,4,7040,1,1,private car,CAR,056,2007,1686,2,32.2146,1391.6
2016,3182630,1,01/01/2016,30/01/2016,8,C,47,45 <=  x < 50,4,3350,1,1,private car,CAR,024,2008,1388,5,18.663764384,602.1369863
2016,3182943,1,01/01/2016,31/12/2016,8,C,62,60 <=  x < 65,15,1070,1,1,private car,CAR,079,2009,2446,5,215.73482556,3383.2876712
2016,3182966,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,12,2500,1,51,driving school car,CAR,056,2009,1500,5,144.37730459,4731.55508
2016,3183071,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,3,3350,1,5,commercial car <3100 kg,PICKUP,079,2012,2494,3,261.58317041,628.20821918
2016,3183181,1,01/01/2016,10/04/2016,8,C,47,45 <=  x < 50,9,3440,1,1,private car,CAR,064,2009,1870,2,18.882324854,739.85694411
2016,3183242,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,12,3430,1,1,private car,CAR,056,2011,1389,5,140.28504959,2603.8356164
2016,3183737,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,15,2650,1,6,commercial car <3500 kg,PICKUP,049,2009,3908,3,55.625295172,2888.8767123
2016,3183774,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,4,1150,1,1,private car,CAR,024,2005,1800,2,53.160046189,538.75890411
2016,3183786,3,01/01/2016,01/02/2016,8,C,38,35 <=  x < 40,18,2910,1,70,tow-car,TRUCK,401,2010,1,1,3.4225358904,693.04109589
2016,3184166,1,01/01/2016,11/04/2016,8,C,50,50 <=  x < 55,5,7570,1,1,private car,CAR,024,2009,2498,9,67.517972603,2242.4767123
2016,3184173,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,20,4702,1,1,private car,CAR,057,2009,1124,5,118.79814956,2628.0753425
2016,3184228,1,01/01/2016,19/11/2016,8,S,35,35 <=  x < 40,9,2805,2,1,private car,CAR,003,2005,1896,5,206.30464088,3091.5780822
2016,3184241,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,9,4800,1,1,private car,CAR,102,2013,1600,5,189.0028,9231
2016,3184290,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,14,4775,1,1,private car,CAR,083,2007,1896,5,213.04771643,3952.8493151
2016,3184434,1,01/01/2016,02/05/2016,8,C,47,45 <=  x < 50,5,2120,1,1,private car,CAR,064,2009,1870,2,17.000334247,920.76027397
2016,3184465,1,01/01/2016,31/12/2016,8,C,64,60 <=  x < 65,9,4780,1,1,private car,CAR,064,2009,1870,2,123.73740332,0
2016,3185071,1,01/01/2016,31/05/2016,8,C,47,45 <=  x < 50,2,7040,1,6,commercial car <3500 kg,PICKUP,049,2009,2835,2,241.21112329,7408.1387268
2016,3185244,1,01/01/2016,30/05/2016,8,C,57,55 <=  x < 60,9,4900,1,1,private car,CAR,056,2012,1686,2,44.55206137,2288.2726027
2016,3185632,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,4,8375,1,51,driving school car,CAR,056,2011,1686,5,245.59314959,481.13972603
2016,3185642,1,01/01/2016,31/12/2016,8,S,56,55 <=  x < 60,13,7300,1,1,private car,CAR,083,2014,1968,2,309.98450977,2957.5013699
2016,3185916,1,01/01/2016,31/12/2016,8,C,36,35 <=  x < 40,9,7400,1,1,private car,CAR,057,2007,1905,5,81.475172034,3067.2657534
2016,3185940,1,01/01/2016,14/04/2016,8,C,47,45 <=  x < 50,7,2120,1,1,private car,CAR,064,2009,1870,2,13.629355068,768.26712329
2016,3186194,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,5,5400,1,56,truck 10 to 20 tn,TRUCK,047,2013,6370,3,982.9497377,16971.879341
2016,3186525,1,01/01/2016,31/12/2016,8,C,57,55 <=  x < 60,10,2510,1,1,private car,CAR,091,2013,1422,2,289.24373847,3143.5890411
2016,3187526,1,01/01/2016,20/03/2016,8,S,36,35 <=  x < 40,14,9600,1,5,commercial car <3100 kg,PICKUP,049,2009,2835,5,0,3664.9315068
2016,3187587,1,01/01/2016,03/04/2016,8,C,67,65 <=  x < 70,15,3750,2,1,private car,CAR,884,2014,1100,5,68.7148,3952.2191781
2016,3187672,1,01/01/2016,03/05/2016,8,C,47,45 <=  x < 50,6,2620,1,51,driving school car,CAR,056,2011,1686,5,0,641.34246575
2016,3187675,1,01/01/2016,31/12/2016,8,C,47,45 <=  x < 50,14,7875,1,5,commercial car <3100 kg,PICKUP,035,2011,2999,3,175.66621184,4080.6715068
2016,3187984,18,01/01/2016,31/12/2016,9,C,47,45 <=  x < 50,1,4702,1,57,truck over 20 tn,TRUCK,018,2007,8661,2,0,25250
