NrPolicy,NrObject,NrClaim,Date_of_loss,Paid,Reserves,Settlement_date
3077295,1,3629431,18/01/2014,1174.016844,0,
3078460,1,3824345,01/01/2016,6283.95,0,
3078982,1,3491789,19/04/2013,2453.4825084,0,
3079209,1,3867703,26/08/2016,3269.99,0,
3080758,1,3729862,15/09/2015,51.8544302,2.9886,
3082497,1,3289280,18/09/2012,277.5514599,0,08/09/2015
3084301,1,3428935,17/02/2013,835.1505316,0,
3088527,1,3272689,05/07/2012,2549.5794105,0,22/06/2015
3088653,1,3478962,30/07/2013,146.4321684,0,
3090917,1,3736607,04/08/2015,349.5144906,0,
3091904,179,3246519,31/03/2012,368.8226178,0,05/04/2015
3093377,1,3445845,27/09/2013,11440.78311,0,
3093928,208,3266738,24/03/2012,395.1598365,0,04/04/2015
3094072,1,3922899,22/11/2016,52.5907,8587.9593,
3094456,1,3306940,11/09/2012,2183.5165053,0,30/08/2015
3099068,1,3742707,15/06/2015,14719.02902,0,
3099411,1,3600621,20/04/2014,3964.70331,0,
3099413,1,3408414,11/02/2013,3980.0835162,0,
3100641,1,3561291,05/01/2014,1289.1044068,0,
3100716,1,3315159,05/06/2012,553.1781918,0,18/06/2015
3100892,1,3768821,07/02/2016,1731.39,0,
3101610,1,3255260,19/05/2012,7700.6941869,0,26/05/2015
3101724,1,3596720,05/03/2014,509.2989135,0,
3101767,1,3547338,03/06/2014,12902.044241,0,
3103383,1,3281853,22/01/2012,370.323954,0,18/01/2015
3103541,1,3591901,14/09/2014,2013.45904,0,
3103866,19,3797304,16/01/2016,181.5,0,
3103891,1,3782852,14/01/2016,780.0702,0,
3104008,1,3281787,03/07/2012,3146.01144,0,23/06/2015
3105216,13,3808005,05/01/2016,1336.6089,0,
3108597,1,3248890,08/04/2012,3310.5947862,0,19/04/2015
3109511,1,3978783,24/12/2016,0,2405.9,
3110326,1,3310179,22/03/2012,106.7766142,0,29/03/2015
3112732,1,3615192,03/01/2015,152.9887996,0,
3114548,1,3498400,17/11/2013,2313.410022,0,
3115360,1,3886064,12/10/2016,52.07,2354.8714,
3115772,1,3426349,15/05/2013,1813.44482,0,
3116873,1,3230454,28/03/2012,1042.3769499,0,18/03/2015
3117359,1,3847547,25/05/2016,1267.5026,1138.3974,
3117938,1,3293998,26/02/2012,12440.869698,0,02/03/2015
