Business,ClaimSize,dataset_type,ay,dy,SumOfamount
House,Small,PAID,2007,10,15847899.5
House,Small,PAID,2008,2,12888648.52
House,Small,PAID,2008,3,15959212.41
House,Small,PAID,2008,4,17759243.15
House,Small,PAID,2008,5,18782205.05
House,Small,PAID,2008,6,18968963.53
House,Small,PAID,2008,7,18630280.15
House,Small,PAID,2008,8,18937352.62
House,Small,PAID,2008,9,18858016.23
House,Small,PAID,2009,1,5889843.488
House,Small,PAID,2009,2,18826674.47
House,Small,PAID,2009,3,21496726.86
House,Small,PAID,2009,4,22469054.15
House,Small,PAID,2009,5,23573315.33
House,Small,PAID,2009,6,23663404.74
House,Small,PAID,2009,7,24150469.01
House,Small,PAID,2009,8,24470099.84
House,Small,PAID,2010,1,6068108.129
House,Small,PAID,2010,2,18520765.13
House,Small,PAID,2010,3,20968479.29
House,Small,PAID,2010,4,22225792.27
House,Small,PAID,2010,5,22535518.52
House,Small,PAID,2010,6,22976417.54
House,Small,PAID,2010,7,23206344.28
House,Small,PAID,2011,1,2256061.863
House,Small,PAID,2011,2,6885555.186
House,Small,PAID,2011,3,9672538.118
House,Small,PAID,2011,4,10704195.83
House,Small,PAID,2011,5,11540244.52
House,Small,PAID,2011,6,11734439.74
House,Small,PAID,2012,1,2526194.921
House,Small,PAID,2012,2,8371474.119
House,Small,PAID,2012,3,10165928.64
House,Small,PAID,2012,4,11311072.68
House,Small,PAID,2012,5,11275807.99
House,Small,PAID,2013,1,3280338.42
House,Small,PAID,2013,2,10871723.69
House,Small,PAID,2013,3,14394698.18
House,Small,PAID,2013,4,15737749.57
House,Small,PAID,2014,1,3328106.019
House,Small,PAID,2014,2,11632799.3
House,Small,PAID,2014,3,14297700.57
House,Small,PAID,2015,1,2112062.919
House,Small,PAID,2015,2,8772798.13
House,Small,PAID,2016,1,2568454.509
