Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2014,4181259,1,01/01/2014,31/12/2014,2,S,55,55 <=  x < 60,12,2615,1,51,driving school car,CAR,023,2013,1248,5,213.65981918,10774.89863
2013,4181280,1,09/11/2013,31/12/2013,1,C,64,60 <=  x < 65,0,5340,1,6,commercial car <3500 kg,PICKUP,083,2013,2799,3,58.7416,5424.534071
2014,4181312,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,-1,7350,1,12,motorcycle,MOTORBIKE,075,2013,1000,2,138.05496301,8209.4392455
2015,4181324,1,01/01/2015,31/12/2015,3,C,56,55 <=  x < 60,16,4630,2,1,private car,CAR,001,2012,1900,5,411.88345385,7335.6164384
2013,4181368,1,04/11/2013,31/12/2013,1,C,56,55 <=  x < 60,12,4594,1,1,private car,CAR,048,2013,1994,2,54.029738071,3615.3967213
2013,4181375,1,09/11/2013,31/12/2013,1,C,56,55 <=  x < 60,13,2090,1,1,private car,CAR,056,2013,1248,2,28.100251507,1734.6639344
2013,4181503,1,11/10/2013,31/12/2013,1,C,44,40 <=  x < 45,5,7350,1,1,private car,CAR,023,2013,1248,5,65.513372055,3577.5387475000002
2014,4181508,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,12,2510,1,1,private car,CAR,079,2013,1995,2,384.20490904,19168.767123
2013,4181510,1,30/09/2013,31/12/2013,1,C,44,40 <=  x < 45,0,7350,1,1,private car,CAR,091,2013,1000,4,70.004870959,2788.9860967
2013,4181700,1,23/08/2013,31/12/2013,1,C,54,50 <=  x < 55,5,4710,1,1,private car,CAR,031,2004,1396,5,33.428041644,1446.010929
2014,4181813,1,01/01/2014,31/12/2014,2,C,54,50 <=  x < 55,13,1800,1,1,private car,CAR,057,2013,1398,2,220.86151479,10841.484932
2015,4181844,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,10,5460,1,1,private car,CAR,064,2013,1461,5,288.44607452,15194.827397
2014,4181913,1,01/01/2014,02/11/2014,2,C,31,30 <=  x < 35,8,2090,1,1,private car,CAR,023,2013,1248,2,194.78232986,11502.246575
2013,4181913,2,20/10/2013,31/12/2013,1,C,74,70 <=  x < 75,5,4495,2,1,private car,CAR,047,2009,2148,5,186.55912088,5052.7568306
2013,4181937,1,29/10/2013,31/12/2013,1,S,41,40 <=  x < 45,14,2354,1,1,private car,CAR,023,2013,1248,5,49.64141589,3328.7868852
